日期,原料,投入重量(kg),果皮重量(kg),不良品重量(kg),果肉成品重量(kg),班別,步留率(%)
2026-05-05,柚子,287,86.2,31.8,169,食品二班,58.89
2026-03-14,蘋果,427,44,13.1,369.9,食品二班,86.63
2026-03-01,鳳梨,249,75.2,22.4,151.4,食品三班,60.8
2026-05-12,草莓,278,24.2,6.5,247.3,食品一班,88.96
2026-01-19,鳳梨,467,148.3,25.1,293.6,食品三班,62.87
2026-02-21,草莓,477,56.1,6.9,414,食品二班,86.79
2026-04-17,蘋果,196,19.6,5.4,171,食品一班,87.24
2026-03-23,草莓,383,34.8,11.1,337.1,食品三班,88.02
2026-01-07,柚子,447,165.7,19.4,261.9,食品三班,58.59
2026-05-11,柚子,499,178.1,33,287.9,食品二班,57.7
2026-05-20,蘋果,212,19.8,4.2,188,食品三班,88.68
2026-04-01,奇異果,487,86.6,12.4,388,食品一班,79.67
2026-01-22,柚子,357,121.8,28,207.2,食品二班,58.04
2026-02-13,芒果,246,37.8,7.4,200.8,食品一班,81.63
2026-04-07,鳳梨,194,77.5,9.1,107.4,食品三班,55.36
2026-01-03,蘋果,303,25.6,7,270.4,食品二班,89.24
2026-04-06,鳳梨,350,105.9,27.6,216.5,食品一班,61.86
2026-01-16,奇異果,379,68.7,20.2,290.1,食品一班,76.54
2026-03-20,蘋果,109,10,1.1,97.9,食品一班,89.82
2026-03-03,草莓,234,17.9,6.6,209.5,食品二班,89.53
2026-03-08,奇異果,279,39.8,12.6,226.6,食品三班,81.22
2026-05-19,草莓,243,26.6,4.3,212.1,食品二班,87.28
2026-03-30,奇異果,127,19.9,6.4,100.7,食品二班,79.29
2026-03-05,蘋果,388,34,9.7,344.3,食品三班,88.74
2026-05-03,奇異果,488,57.4,17,413.6,食品三班,84.75
2026-01-10,鳳梨,476,120.6,49,306.4,食品一班,64.37
2026-04-26,柚子,347,91.4,34,221.6,食品三班,63.86
2026-05-06,蘋果,417,44.6,6.8,365.6,食品二班,87.67
2026-02-26,鳳梨,190,53,19.2,117.8,食品一班,62
